outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,mean_ai_active,peer_cleaning_ann_rate,focal_cleaning_ann_rate,peer_group,top_n,sample,fe_spec,model
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.0007446643076806537,0.0014660990228064464,-0.5079222454259584,0.6115078733638906,8683,2416,3573,-0.00011803718176927336,0.25567200276402163,0.0,0.0,true_top5,5,drop_either_cleaning_ann,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,specz_ai_active,-0.0014692701282636596,0.0011305841378889002,-1.2995672582203177,0.1937493275922637,8683,2416,3573,-0.00011803718176927336,0.25567200276402163,0.0,0.0,true_top5,5,drop_either_cleaning_ann,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.0016925640243423646,0.0006459149888691408,-2.6204129854699345,0.008782333933916364,22545,2651,4791,-0.0004985738890044692,0.2634730538922156,0.1734752716788645,0.08019516522510535,true_top10,10,base_no_announcement_filter,event_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,specz_ai_active,-0.0009687421090183193,0.0005763670628447031,-1.6807728467983918,0.09280704473734946,22545,2651,4791,-0.0004985738890044692,0.2634730538922156,0.1734752716788645,0.08019516522510535,true_top10,10,base_no_announcement_filter,event_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.001541288233427691,0.0008098127367686739,-1.903264993803087,0.05700597619430203,22545,2651,4791,-0.000639767525542924,0.2634730538922156,0.1734752716788645,0.08019516522510535,true_top10,10,base_no_announcement_filter,event_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,specz_ai_active,-0.0011203963808919042,0.0007052068595537806,-1.5887485575520843,0.11211717145387157,22545,2651,4791,-0.000639767525542924,0.2634730538922156,0.1734752716788645,0.08019516522510535,true_top10,10,base_no_announcement_filter,event_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.0012830209253408143,0.0006660386069011838,-1.9263461788051703,0.0540611629488057,22545,2651,4791,-0.0004985738890044692,0.2634730538922156,0.1734752716788645,0.08019516522510535,true_top10,10,base_no_announcement_filter,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,specz_ai_active,-0.0012856800587250927,0.0006030649594310132,-2.1319097364537996,0.03301426765243032,22545,2651,4791,-0.0004985738890044692,0.2634730538922156,0.1734752716788645,0.08019516522510535,true_top10,10,base_no_announcement_filter,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.0008470384165994465,0.000862583701642936,-0.981978230038568,0.3261105733294345,22545,2651,4791,-0.000639767525542924,0.2634730538922156,0.1734752716788645,0.08019516522510535,true_top10,10,base_no_announcement_filter,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,specz_ai_active,-0.001306692999270139,0.0007426724202253789,-1.7594473198204892,0.07850156059004076,22545,2651,4791,-0.000639767525542924,0.2634730538922156,0.1734752716788645,0.08019516522510535,true_top10,10,base_no_announcement_filter,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.001599036332103962,0.000679881563747884,-2.3519336563403597,0.01867610563859201,18634,2649,4596,-0.0006301488440595618,0.25845229151014276,0.0,0.07239454760115917,true_top10,10,drop_peer_cleaning_ann_m1_p1,event_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,specz_ai_active,-0.0010084646671529604,0.0006059978285840942,-1.6641390770478908,0.09608463948158952,18634,2649,4596,-0.0006301488440595618,0.25845229151014276,0.0,0.07239454760115917,true_top10,10,drop_peer_cleaning_ann_m1_p1,event_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.0013496523540241997,0.0008335458671852677,-1.619169870737563,0.10541071869805241,18634,2649,4596,-0.0007698118251545204,0.25845229151014276,0.0,0.07239454760115917,true_top10,10,drop_peer_cleaning_ann_m1_p1,event_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,specz_ai_active,-0.0009130312205582946,0.0007220120488388685,-1.2645650748164396,0.20602727939752796,18634,2649,4596,-0.0007698118251545204,0.25845229151014276,0.0,0.07239454760115917,true_top10,10,drop_peer_cleaning_ann_m1_p1,event_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.001195175938023752,0.000700523548792224,-1.7061181456131782,0.08798608475511349,18634,2649,4596,-0.0006301488440595618,0.25845229151014276,0.0,0.07239454760115917,true_top10,10,drop_peer_cleaning_ann_m1_p1,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,specz_ai_active,-0.0011848283283495264,0.0006452447310657644,-1.8362464214043568,0.06632121991540862,18634,2649,4596,-0.0006301488440595618,0.25845229151014276,0.0,0.07239454760115917,true_top10,10,drop_peer_cleaning_ann_m1_p1,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.0007325297732648088,0.000868459485969958,-0.8434818032376801,0.39895903851888215,18634,2649,4596,-0.0007698118251545204,0.25845229151014276,0.0,0.07239454760115917,true_top10,10,drop_peer_cleaning_ann_m1_p1,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,specz_ai_active,-0.0009552027910475385,0.0007661694105267732,-1.2467253037298853,0.21249823741832397,18634,2649,4596,-0.0007698118251545204,0.25845229151014276,0.0,0.07239454760115917,true_top10,10,drop_peer_cleaning_ann_m1_p1,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.001746877750098503,0.0006738454799270292,-2.592401080270914,0.009530858569605893,20737,2433,4719,-0.0006499976064110595,0.2637797174133192,0.1664657375705261,0.0,true_top10,10,drop_focal_cleaning_ann_event_or_0,event_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,specz_ai_active,-0.0012044689947437574,0.0005983567555587267,-2.012961303694252,0.04411870042977539,20737,2433,4719,-0.0006499976064110595,0.2637797174133192,0.1664657375705261,0.0,true_top10,10,drop_focal_cleaning_ann_event_or_0,event_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.00156887297349548,0.0008467466230728675,-1.8528246003532858,0.0639075030171512,20737,2433,4719,-0.0007224004442529886,0.2637797174133192,0.1664657375705261,0.0,true_top10,10,drop_focal_cleaning_ann_event_or_0,event_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,specz_ai_active,-0.0014416301124355157,0.0007382335203343471,-1.952810422077013,0.05084206313165729,20737,2433,4719,-0.0007224004442529886,0.2637797174133192,0.1664657375705261,0.0,true_top10,10,drop_focal_cleaning_ann_event_or_0,event_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.0013035811840741457,0.0006778614004144395,-1.9230792360756133,0.05447009958832583,20737,2433,4719,-0.0006499976064110595,0.2637797174133192,0.1664657375705261,0.0,true_top10,10,drop_focal_cleaning_ann_event_or_0,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,specz_ai_active,-0.0015468227795168217,0.0006294690610519056,-2.457345206024783,0.013996811638790296,20737,2433,4719,-0.0006499976064110595,0.2637797174133192,0.1664657375705261,0.0,true_top10,10,drop_focal_cleaning_ann_event_or_0,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.0008998334819789868,0.0008894548730323425,-1.0116685053523418,0.311696579014918,20737,2433,4719,-0.0007224004442529886,0.2637797174133192,0.1664657375705261,0.0,true_top10,10,drop_focal_cleaning_ann_event_or_0,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,specz_ai_active,-0.001677663976436028,0.0007753288956719631,-2.1638094308119755,0.030478978057101314,20737,2433,4719,-0.0007224004442529886,0.2637797174133192,0.1664657375705261,0.0,true_top10,10,drop_focal_cleaning_ann_event_or_0,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.0016511892816142703,0.0007116078416417275,-2.320364089587412,0.02032118979115194,17285,2432,4516,-0.0007172451990430438,0.2592421174428695,0.0,0.0,true_top10,10,drop_either_cleaning_ann,event_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,specz_ai_active,-0.0011899420857458018,0.0006237183210139474,-1.9078196770160174,0.05641452664571123,17285,2432,4516,-0.0007172451990430438,0.2592421174428695,0.0,0.0,true_top10,10,drop_either_cleaning_ann,event_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.0015246408861321124,0.0008735621840056937,-1.7453146599603435,0.080930111473279,17285,2432,4516,-0.0008091937795071393,0.2592421174428695,0.0,0.0,true_top10,10,drop_either_cleaning_ann,event_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,specz_ai_active,-0.0011711437063941818,0.0007511539390450618,-1.559126093225379,0.11896653892021081,17285,2432,4516,-0.0008091937795071393,0.2592421174428695,0.0,0.0,true_top10,10,drop_either_cleaning_ann,event_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.0010502335168004534,0.000722511724550361,-1.4535868154306322,0.14606089445999149,17285,2432,4516,-0.0007172451990430438,0.2592421174428695,0.0,0.0,true_top10,10,drop_either_cleaning_ann,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,specz_ai_active,-0.0014077504778440765,0.0006645866410306351,-2.1182346904550315,0.03415519660209343,17285,2432,4516,-0.0007172451990430438,0.2592421174428695,0.0,0.0,true_top10,10,drop_either_cleaning_ann,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.0007148088080243309,0.0009059243453521321,-0.789038082144139,0.4300897490414144,17285,2432,4516,-0.0008091937795071393,0.2592421174428695,0.0,0.0,true_top10,10,drop_either_cleaning_ann,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,specz_ai_active,-0.001280475849811931,0.0007938140192508856,-1.6130678203696922,0.10672977416768248,17285,2432,4516,-0.0008091937795071393,0.2592421174428695,0.0,0.0,true_top10,10,drop_either_cleaning_ann,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.0020702483604046595,0.0006978673372381899,-2.966535686564251,0.003011754068668049,19198,2598,2843,-0.0015732596401669544,0.25294301489738513,0.16850713616001667,0.08401916866340244,low_similarity_same_industry,10,base_no_announcement_filter,event_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,specz_ai_active,0.00010945631892143882,0.0005052142612061348,0.21665326441919075,0.8284785724463464,19198,2598,2843,-0.0015732596401669544,0.25294301489738513,0.16850713616001667,0.08401916866340244,low_similarity_same_industry,10,base_no_announcement_filter,event_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.002842723115621949,0.0008908419786568967,-3.191052042594425,0.0014175574351695808,19198,2598,2843,-0.0017552487311726414,0.25294301489738513,0.16850713616001667,0.08401916866340244,low_similarity_same_industry,10,base_no_announcement_filter,event_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,specz_ai_active,0.00020781474073010005,0.0006517064212774401,0.3188778473637757,0.7498191433326244,19198,2598,2843,-0.0017552487311726414,0.25294301489738513,0.16850713616001667,0.08401916866340244,low_similarity_same_industry,10,base_no_announcement_filter,event_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.002070248360404659,0.0006978673372381899,-2.9665356865642507,0.003011754068668049,19198,2598,2843,-0.0015732596401669544,0.25294301489738513,0.16850713616001667,0.08401916866340244,low_similarity_same_industry,10,base_no_announcement_filter,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,specz_ai_active,0.00010945631892143888,0.0005052142612061347,0.21665326441919092,0.8284785724463464,19198,2598,2843,-0.0015732596401669544,0.25294301489738513,0.16850713616001667,0.08401916866340244,low_similarity_same_industry,10,base_no_announcement_filter,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.002842723115621949,0.0008908419786568967,-3.191052042594425,0.0014175574351695808,19198,2598,2843,-0.0017552487311726414,0.25294301489738513,0.16850713616001667,0.08401916866340244,low_similarity_same_industry,10,base_no_announcement_filter,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,specz_ai_active,0.00020781474073009994,0.0006517064212774401,0.31887784736377556,0.7498191433326249,19198,2598,2843,-0.0017552487311726414,0.25294301489738513,0.16850713616001667,0.08401916866340244,low_similarity_same_industry,10,base_no_announcement_filter,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.002321756759024609,0.000743811552895191,-3.121431429758611,0.0017997415540913497,15963,2596,2711,-0.0017065851175442196,0.2511432688091211,0.0,0.07580028816638476,low_similarity_same_industry,10,drop_peer_cleaning_ann_m1_p1,event_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,specz_ai_active,0.00012940911976484467,0.0005866395540724832,0.22059392154258883,0.8254086343862344,15963,2596,2711,-0.0017065851175442196,0.2511432688091211,0.0,0.07580028816638476,low_similarity_same_industry,10,drop_peer_cleaning_ann_m1_p1,event_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.003370624990251003,0.0009430791460922433,-3.574063750871361,0.00035148329281997626,15963,2596,2711,-0.002030493883365664,0.2511432688091211,0.0,0.07580028816638476,low_similarity_same_industry,10,drop_peer_cleaning_ann_m1_p1,event_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,specz_ai_active,0.0002472714301256997,0.0007389493931846946,0.3346256623339511,0.7379074841168283,15963,2596,2711,-0.002030493883365664,0.2511432688091211,0.0,0.07580028816638476,low_similarity_same_industry,10,drop_peer_cleaning_ann_m1_p1,event_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.002321756759024609,0.000743811552895191,-3.121431429758611,0.0017997415540913497,15963,2596,2711,-0.0017065851175442196,0.2511432688091211,0.0,0.07580028816638476,low_similarity_same_industry,10,drop_peer_cleaning_ann_m1_p1,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,specz_ai_active,0.00012940911976484445,0.000586639554072483,0.22059392154258856,0.8254086343862346,15963,2596,2711,-0.0017065851175442196,0.2511432688091211,0.0,0.07580028816638476,low_similarity_same_industry,10,drop_peer_cleaning_ann_m1_p1,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.003370624990251003,0.0009430791460922433,-3.574063750871361,0.00035148329281997626,15963,2596,2711,-0.002030493883365664,0.2511432688091211,0.0,0.07580028816638476,low_similarity_same_industry,10,drop_peer_cleaning_ann_m1_p1,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,specz_ai_active,0.0002472714301256998,0.0007389493931846946,0.33462566233395125,0.737907484116828,15963,2596,2711,-0.002030493883365664,0.2511432688091211,0.0,0.07580028816638476,low_similarity_same_industry,10,drop_peer_cleaning_ann_m1_p1,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
