draw,obs,events,peer_firms,mean_ai_active,mean_car_0_p1_mm,mean_car_m1_p1_mm
52,7737,2379,3692,0.26845030373529793,-0.00020828051105023425,-0.0004117365544798682
53,7690,2367,3661,0.26814044213263977,-0.0006933153092446804,-0.000510211815895106
54,7698,2371,3707,0.2730579371265264,-0.0002568978389180571,-0.0005129823324903484
55,7682,2372,3696,0.271674043217912,-0.0005348992821249057,-0.0009202266604916841
56,7585,2375,3662,0.2706657877389585,-0.001201338900248277,-0.0014968386785848223
57,7704,2369,3709,0.2749221183800623,-0.0008429816260737895,-0.0010668561647195335
58,7783,2373,3728,0.27534369780290374,-0.0005189446171023033,-0.0008017796027441126
59,7734,2370,3683,0.28316524437548485,-0.0007319005546650046,-0.0006022361675767368
60,7718,2383,3639,0.27325732054936513,-0.0004973515068512304,-0.0011215843113264266
61,7638,2368,3715,0.27625032731081434,-0.0009945347369069992,-0.0010875976205649831
62,7794,2376,3659,0.2729022324865281,-0.0012439454063969287,-0.001173959322817065
63,7773,2385,3677,0.27299626913675545,-0.0005631026667660448,-0.0009966964723833482
64,7663,2383,3688,0.27313062769150465,-0.0008393730705625475,-0.0011072304535354955
65,7741,2369,3673,0.2743831546311846,-0.000570566760254369,-0.0006807703579606282
66,7786,2378,3707,0.27754944772668894,-0.0013349533801747609,-0.001250725092691043
67,7749,2366,3694,0.266615047102852,-0.0009216795564655017,-0.000969949385435556
68,7731,2374,3664,0.28004139179924975,-0.00036271893058696414,-0.00035037409333695083
69,7763,2374,3697,0.27579543990725236,-0.0006159290780080817,-0.0008044378662636549
70,7738,2376,3654,0.27513569397777204,-0.00038346064244830367,-0.00022161165984727516
71,7736,2380,3703,0.2711995863495346,-0.0014710947594722037,-0.001301772786045715
72,7703,2374,3725,0.2711930416720758,-0.0011510800194705212,-0.0010007176260371825
73,7709,2378,3690,0.26890647295369047,-0.0008953347772503588,-0.0008437893996712708
74,7680,2372,3635,0.2701822916666667,-0.0007682897928015883,-0.0007923681177251598
75,7745,2380,3706,0.2800516462233699,-0.00110187348223735,-0.0014446527325994703
76,7769,2376,3723,0.27648345990474965,-0.001411325237640071,-0.001140141448323329
77,7736,2378,3668,0.2775336091003102,-0.001153732402649325,-0.0015141312482104636
78,7735,2381,3672,0.27239819004524884,-0.0006357819098369966,-0.0006829210385140783
79,7642,2373,3616,0.27244176917037427,-0.0004199328230951067,-0.000629938036742042
80,7702,2373,3678,0.2814853284861075,-0.0012109498473606055,-0.0015082154926209638
81,7686,2372,3628,0.2792089513400989,-0.001247457714102177,-0.0014270140761772471
