outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,mean_ai_active,peer_cleaning_ann_rate,focal_cleaning_ann_rate,draw,fe_spec
peer_car_m1_p1_mm,specz_ai_active,0.00028590103013242436,0.0009735016649268509,0.29368314450074107,0.769000035373695,7798,2371,3640,-0.0007618767220207772,0.27840471915875864,0.0,0.0,3,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,0.00170094072008935,0.00089879978231115,1.8924578683314721,0.05843000207255855,7712,2373,3671,-0.0008469741687344102,0.27852697095435686,0.0,0.0,4,event_fe
peer_car_0_p1_mm,specz_ai_active,0.00170094072008935,0.00089879978231115,1.8924578683314721,0.05843000207255855,7712,2373,3671,-0.0008469741687344102,0.27852697095435686,0.0,0.0,4,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,0.000579462397313018,0.0010661370132789086,0.5435158803190587,0.5867746600305175,7712,2373,3671,-0.0013944147855357713,0.27852697095435686,0.0,0.0,4,event_fe
peer_car_m1_p1_mm,specz_ai_active,0.0005794623973130182,0.0010661370132789086,0.543515880319059,0.5867746600305173,7712,2373,3671,-0.0013944147855357713,0.27852697095435686,0.0,0.0,4,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,6.84777709110264e-05,0.0008581358437886335,0.07979828765653225,0.9363976862349648,7714,2373,3637,-0.0011088314649313875,0.2669172932330827,0.0,0.0,5,event_fe
peer_car_0_p1_mm,specz_ai_active,6.847777091102629e-05,0.0008581358437886335,0.07979828765653212,0.936397686234965,7714,2373,3637,-0.0011088314649313875,0.2669172932330827,0.0,0.0,5,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,0.0009902726417061643,0.0009769130424952285,1.0136753207601903,0.31073770392093936,7714,2373,3637,-0.001028174114908699,0.2669172932330827,0.0,0.0,5,event_fe
peer_car_m1_p1_mm,specz_ai_active,0.0009902726417061647,0.0009769130424952285,1.0136753207601907,0.31073770392093913,7714,2373,3637,-0.001028174114908699,0.2669172932330827,0.0,0.0,5,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,0.0005058905666847184,0.0008586019647697259,0.5892026660111319,0.5557253289591992,7732,2372,3680,-0.0010314892919306635,0.27405587170201756,0.0,0.0,6,event_fe
peer_car_0_p1_mm,specz_ai_active,0.0005058905666847186,0.000858601964769726,0.589202666011132,0.5557253289591992,7732,2372,3680,-0.0010314892919306635,0.27405587170201756,0.0,0.0,6,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,0.0008252360482980837,0.001006344319932548,0.8200334934601673,0.4121970137259896,7732,2372,3680,-0.001222025601774228,0.27405587170201756,0.0,0.0,6,event_fe
peer_car_m1_p1_mm,specz_ai_active,0.0008252360482980839,0.001006344319932548,0.8200334934601675,0.4121970137259896,7732,2372,3680,-0.001222025601774228,0.27405587170201756,0.0,0.0,6,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,-6.615268383096656e-05,0.000808523651551991,-0.08181910783189093,0.9347905611650784,7762,2371,3664,-0.0008284961099890634,0.27750579747487764,0.0,0.0,7,event_fe
peer_car_0_p1_mm,specz_ai_active,-6.61526838309665e-05,0.000808523651551991,-0.08181910783189086,0.9347905611650784,7762,2371,3664,-0.0008284961099890634,0.27750579747487764,0.0,0.0,7,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0015367957224458491,0.0010598519710634405,-1.4500097791051423,0.14705579222629206,7762,2371,3664,-0.0009527949560845477,0.27750579747487764,0.0,0.0,7,event_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0015367957224458493,0.0010598519710634405,-1.4500097791051425,0.14705579222629206,7762,2371,3664,-0.0009527949560845477,0.27750579747487764,0.0,0.0,7,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,-0.0004855627507117647,0.0008102299162295515,-0.5992900792547343,0.5489794623561668,7753,2375,3658,-0.000469612308523101,0.28208435444344127,0.0,0.0,8,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.0004855627507117647,0.0008102299162295515,-0.5992900792547343,0.5489794623561668,7753,2375,3658,-0.000469612308523101,0.28208435444344127,0.0,0.0,8,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0006430759998864045,0.0009530829833841279,-0.6747324326398354,0.4998457750337022,7753,2375,3658,8.51694603765e-06,0.28208435444344127,0.0,0.0,8,event_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0006430759998864046,0.0009530829833841279,-0.6747324326398355,0.4998457750337022,7753,2375,3658,8.51694603765e-06,0.28208435444344127,0.0,0.0,8,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,-0.00043363043797272987,0.0009190089683640592,-0.47184570869274706,0.6370369223328942,7753,2369,3685,-0.0009891315648657452,0.2708628917838256,0.0,0.0,9,event_fe
