model,outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,ai_def,tau,base_tau,fe,ci_low,ci_high
daily_event_time_current_text_history,abret_mm,spec_ai_current_text_history_tau_p3,-1.4080698140195476e-05,0.0007892347655341225,-0.01784095019010753,0.9857657364237711,163721,2177,3345,-0.0005608429138376901,current_text_history,3,-2,pair_id+tau_fe,-0.0015609808385870757,0.0015328194423066847
daily_event_time_current_text_history,abret_mm,spec_ai_current_text_history_tau_p4,0.0004009817416584075,0.0008802382024495123,0.45553776300842447,0.6487224063606103,163721,2177,3345,-0.0005608429138376901,current_text_history,4,-2,pair_id+tau_fe,-0.0013242851351426366,0.0021262486184594515
daily_event_time_current_text_history,abret_mm,spec_ai_current_text_history_tau_p5,4.977828204356054e-05,0.0008244417313983833,0.06037816882356102,0.9518544456848912,163721,2177,3345,-0.0005608429138376901,current_text_history,5,-2,pair_id+tau_fe,-0.0015661275114972708,0.0016656840755843918
daily_event_time_current_text_history,abret_mm,spec_ai_current_text_history_tau_p6,0.0011776010540707788,0.0009183305800761828,1.2823280413607565,0.1997275951629971,163721,2177,3345,-0.0005608429138376901,current_text_history,6,-2,pair_id+tau_fe,-0.0006223268828785395,0.002977528991020097
daily_event_time_current_text_history,abret_mm,spec_ai_current_text_history_tau_p7,0.0005282643904173355,0.0007461300526382501,0.7080057806939141,0.47894166767315394,163721,2177,3345,-0.0005608429138376901,current_text_history,7,-2,pair_id+tau_fe,-0.0009341505127536348,0.001990679293588306
daily_event_time_current_text_history,abret_mm,spec_ai_current_text_history_tau_p8,0.0013826884129181265,0.0008510164934232401,1.6247492541022557,0.10421599778368651,163721,2177,3345,-0.0005608429138376901,current_text_history,8,-2,pair_id+tau_fe,-0.00028530391419142394,0.003050680740027677
daily_event_time_current_text_history,abret_mm,spec_ai_current_text_history_tau_p9,-0.0004801102770617094,0.0007776520240510057,-0.6173844627326776,0.5369811677762595,163721,2177,3345,-0.0005608429138376901,current_text_history,9,-2,pair_id+tau_fe,-0.002004308244201681,0.0010440876900782619
daily_event_time_current_text_history,abret_mm,spec_ai_current_text_history_tau_p10,-0.00024168138746381325,0.0008090182856480461,-0.2987341469917701,0.7651429005532722,163721,2177,3345,-0.0005608429138376901,current_text_history,10,-2,pair_id+tau_fe,-0.0018273572273339836,0.001343994452406357
daily_event_time_ext_any,abret_mm,spec_ai_ext_any_tau_m10,0.0009586104824602741,0.0009415100496944878,1.0181627724221693,0.3086006079132384,163721,2177,3345,-0.0005608429138376901,ext_any,-10,-2,pair_id+tau_fe,-0.0008867492149409219,0.00280397017986147
daily_event_time_ext_any,abret_mm,spec_ai_ext_any_tau_m9,0.0001034652357654161,0.0008165694962296478,0.12670720158314372,0.899172145744755,163721,2177,3345,-0.0005608429138376901,ext_any,-9,-2,pair_id+tau_fe,-0.0014970109768446935,0.0017039414483755258
daily_event_time_ext_any,abret_mm,spec_ai_ext_any_tau_m8,9.626466003815336e-05,0.000898447716778991,0.10714553361354191,0.9146735244561284,163721,2177,3345,-0.0005608429138376901,ext_any,-8,-2,pair_id+tau_fe,-0.001664692864848669,0.001857222184924976
daily_event_time_ext_any,abret_mm,spec_ai_ext_any_tau_m7,-0.000531141594304451,0.0008467889577405429,-0.6272419939457847,0.5305006199837563,163721,2177,3345,-0.0005608429138376901,ext_any,-7,-2,pair_id+tau_fe,-0.002190847951475915,0.001128564762867013
