outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,mean_ai_active,draw,fe_spec
peer_car_m1_p1_mm,specz_ai_active,-0.0008538500133324952,0.0006215148469365986,-1.373820782465712,0.16949732752628188,20081,2598,4647,-0.001148239145697002,0.2745879189283402,6,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,-0.00019881890832211752,0.0004829634427605266,-0.4116645085717186,0.6805853422137425,20180,2600,4681,-0.0006528556339040659,0.2720515361744301,7,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.0001988189083221174,0.00048296344276052664,-0.4116645085717183,0.6805853422137427,20180,2600,4681,-0.0006528556339040659,0.2720515361744301,7,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-0.00015575366205867482,0.0006187987813033027,-0.25170324629700996,0.8012704475904711,20180,2600,4681,-0.000651421965512007,0.2720515361744301,7,event_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0001557536620586749,0.0006187987813033027,-0.25170324629701013,0.8012704475904711,20180,2600,4681,-0.000651421965512007,0.2720515361744301,7,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,-0.0009615673961024058,0.0005253729502354593,-1.8302567645925716,0.06721155320088568,20131,2600,4663,-0.0005934249476502114,0.2802642690378024,8,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.0009615673961024056,0.0005253729502354593,-1.8302567645925711,0.06721155320088568,20131,2600,4663,-0.0005934249476502114,0.2802642690378024,8,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0010170028753132927,0.0005999886194144737,-1.6950369430436554,0.09006841285319123,20131,2600,4663,-0.00035613147940840987,0.2802642690378024,8,event_fe
peer_car_m1_p1_mm,specz_ai_active,-0.001017002875313293,0.0005999886194144737,-1.6950369430436558,0.090068412853191,20131,2600,4663,-0.00035613147940840987,0.2802642690378024,8,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,-0.0005427706830723748,0.0005241292517757934,-1.0355664776072366,0.30040443784256565,20070,2599,4636,-0.0008751843363248664,0.2783258594917788,9,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.0005427706830723751,0.0005241292517757933,-1.0355664776072373,0.3004044378425652,20070,2599,4636,-0.0008751843363248664,0.2783258594917788,9,event_fe_peer_industry_week_fe
