outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,mean_ai_active,peer_group,top_n,sample,fe_spec,model
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.0016925640243423646,0.0006459149888691408,-2.6204129854699345,0.008782333933916364,22545,2651,4791,-0.0004985738890044691,0.2634730538922156,true_top10,10,first_focal_event_clean,event_fe,M1
peer_car_0_p1_mm,specz_ai_active,-0.0009687421090183193,0.0005763670628447031,-1.6807728467983918,0.09280704473734946,22545,2651,4791,-0.0004985738890044691,0.2634730538922156,true_top10,10,first_focal_event_clean,event_fe,M1
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.0016843984192518755,0.0006457907299397095,-2.608272836943834,0.009100038955862866,22545,2651,4791,-0.0004985738890044691,0.2634730538922156,true_top10,10,first_focal_event_clean,event_fe,M2_plus_similarity
peer_car_0_p1_mm,specz_ai_active,-0.0009575247552790813,0.0005758013966921638,-1.6629427451545333,0.09632389688404741,22545,2651,4791,-0.0004985738890044691,0.2634730538922156,true_top10,10,first_focal_event_clean,event_fe,M2_plus_similarity
peer_car_0_p1_mm,product_similarity,0.01034225114788904,0.004196183404289907,2.4646804373030475,0.013713549671108938,22545,2651,4791,-0.0004985738890044691,0.2634730538922156,true_top10,10,first_focal_event_clean,event_fe,M2_plus_similarity
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.001541288233427691,0.0008098127367686739,-1.903264993803087,0.05700597619430203,22545,2651,4791,-0.0006397675255429237,0.2634730538922156,true_top10,10,first_focal_event_clean,event_fe,M1
peer_car_m1_p1_mm,specz_ai_active,-0.0011203963808919042,0.0007052068595537806,-1.5887485575520843,0.11211717145387157,22545,2651,4791,-0.0006397675255429237,0.2634730538922156,true_top10,10,first_focal_event_clean,event_fe,M1
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.0015298731887596383,0.0008095359774345668,-1.8898149451094592,0.058782714054039786,22545,2651,4791,-0.0006397675255429237,0.2634730538922156,true_top10,10,first_focal_event_clean,event_fe,M2_plus_similarity
peer_car_m1_p1_mm,specz_ai_active,-0.0011047151677335695,0.0007044733333731527,-1.5681433425506435,0.11684768336182105,22545,2651,4791,-0.0006397675255429237,0.2634730538922156,true_top10,10,first_focal_event_clean,event_fe,M2_plus_similarity
peer_car_m1_p1_mm,product_similarity,0.014457870239019446,0.005313782023581815,2.7208248616253843,0.006511925216381664,22545,2651,4791,-0.0006397675255429237,0.2634730538922156,true_top10,10,first_focal_event_clean,event_fe,M2_plus_similarity
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.00128458078029881,0.0006659724413498406,-1.9288797862192761,0.053745787796446454,22545,2651,4791,-0.0004985738890044691,0.2634730538922156,true_top10,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M1
peer_car_0_p1_mm,specz_ai_active,-0.0012848457786999966,0.0006030312452700343,-2.130645449597971,0.033118362271666646,22545,2651,4791,-0.0004985738890044691,0.2634730538922156,true_top10,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M1
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.0012773657627859775,0.0006658679337234443,-1.918347014614624,0.05506702473693359,22545,2651,4791,-0.0004985738890044691,0.2634730538922156,true_top10,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M2_plus_similarity
peer_car_0_p1_mm,specz_ai_active,-0.00128051297039209,0.0006022404893618284,-2.1262485552059136,0.0334825691017544,22545,2651,4791,-0.0004985738890044691,0.2634730538922156,true_top10,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M2_plus_similarity
peer_car_0_p1_mm,product_similarity,0.009333680866773829,0.004274213107447267,2.1837191155750024,0.02898289424756295,22545,2651,4791,-0.0004985738890044691,0.2634730538922156,true_top10,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M2_plus_similarity
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.0008502437525494493,0.0008624463520782091,-0.9858511784537605,0.3242061473573976,22545,2651,4791,-0.0006397675255429237,0.2634730538922156,true_top10,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M1
peer_car_m1_p1_mm,specz_ai_active,-0.0013051177826447593,0.0007425703255803848,-1.7575679200817693,0.0788210557572202,22545,2651,4791,-0.0006397675255429237,0.2634730538922156,true_top10,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M1
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.0008391882039396029,0.0008619162947939309,-0.9736307446655688,0.3302399152488382,22545,2651,4791,-0.0006397675255429237,0.2634730538922156,true_top10,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M2_plus_similarity
peer_car_m1_p1_mm,specz_ai_active,-0.0012984786341215563,0.000741227519202865,-1.7517949623861422,0.07980907075851729,22545,2651,4791,-0.0006397675255429237,0.2634730538922156,true_top10,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M2_plus_similarity
peer_car_m1_p1_mm,product_similarity,0.014301969793957632,0.005390009508201145,2.653421997159102,0.007968018457954251,22545,2651,4791,-0.0006397675255429237,0.2634730538922156,true_top10,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M2_plus_similarity
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.0020702483604046595,0.0006978673372381899,-2.966535686564251,0.003011754068668049,19198,2598,2843,-0.0015732596401669544,0.25294301489738513,low_similarity_same_industry,10,first_focal_event_clean,event_fe,M1
peer_car_0_p1_mm,specz_ai_active,0.00010945631892143882,0.0005052142612061348,0.21665326441919075,0.8284785724463464,19198,2598,2843,-0.0015732596401669544,0.25294301489738513,low_similarity_same_industry,10,first_focal_event_clean,event_fe,M1
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.0020763715739991846,0.0006973794556204317,-2.9773913717488516,0.0029071264351809845,19198,2598,2843,-0.0015732596401669544,0.25294301489738513,low_similarity_same_industry,10,first_focal_event_clean,event_fe,M2_plus_similarity
peer_car_0_p1_mm,specz_ai_active,0.00010922388496727961,0.0005047994101222797,0.2163708648962602,0.8286986748091025,19198,2598,2843,-0.0015732596401669544,0.25294301489738513,low_similarity_same_industry,10,first_focal_event_clean,event_fe,M2_plus_similarity
peer_car_0_p1_mm,product_similarity,-0.04310811036688103,0.022590406834313046,-1.9082485181897304,0.05635910344814676,19198,2598,2843,-0.0015732596401669544,0.25294301489738513,low_similarity_same_industry,10,first_focal_event_clean,event_fe,M2_plus_similarity
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.002842723115621949,0.0008908419786568967,-3.191052042594425,0.0014175574351695808,19198,2598,2843,-0.0017552487311726414,0.25294301489738513,low_similarity_same_industry,10,first_focal_event_clean,event_fe,M1
peer_car_m1_p1_mm,specz_ai_active,0.00020781474073010005,0.0006517064212774401,0.3188778473637757,0.7498191433326244,19198,2598,2843,-0.0017552487311726414,0.25294301489738513,low_similarity_same_industry,10,first_focal_event_clean,event_fe,M1
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.002845807054154232,0.0008911684888742944,-3.1933434470388384,0.0014063557117864889,19198,2598,2843,-0.0017552487311726414,0.25294301489738513,low_similarity_same_industry,10,first_focal_event_clean,event_fe,M2_plus_similarity
