model,sample_name,top_n,clean,outcome,covariance,term,coef,se,z,p,nobs,events,focal_firms,peer_firms,mean_y,mean_ai_active
M2_plus_similarity_control,all_events,10,raw,peer_car_m1_p1_ma,event_cluster,product_similarity,0.0011199735096422908,0.0029532592172609373,0.37923305312868333,0.7045148086769024,190356,20117,2652,5040,0.003212718427577801,0.5446479228393116
M2_plus_similarity_control,all_events,10,raw,peer_car_m1_p1_ma,twoway_event_peer,ai_active_peer_tminus5,7.73393193371953e-05,0.0005091543234733677,0.15189759915932577,0.8792677019152622,190356,20117,2652,5040,0.003212718427577801,0.5446479228393116
M2_plus_similarity_control,all_events,10,raw,peer_car_m1_p1_ma,twoway_event_peer,specz_ai_active,-0.0005700588023338256,0.0004039439218322399,-1.4112325288820018,0.15817606161219344,190356,20117,2652,5040,0.003212718427577801,0.5446479228393116
M2_plus_similarity_control,all_events,10,raw,peer_car_m1_p1_ma,twoway_event_peer,product_similarity,0.0011199735096422908,0.003357600871108433,0.33356362254950156,0.7387088724607622,190356,20117,2652,5040,0.003212718427577801,0.5446479228393116
M1_specz_x_ai_active,all_events,10,clean_m1_p1,peer_ar0_ma,event_cluster,ai_active_peer_tminus5,-5.934299859314647e-06,0.00015932525638232461,-0.037246447889432,0.9702885042255751,176129,20116,2652,4926,-0.00017846628891323872,0.5451402097326391
M1_specz_x_ai_active,all_events,10,clean_m1_p1,peer_ar0_ma,event_cluster,specz_ai_active,-0.00016277993131235877,0.00015988685509609423,-1.0180945219951056,0.3086330384141982,176129,20116,2652,4926,-0.00017846628891323872,0.5451402097326391
M1_specz_x_ai_active,all_events,10,clean_m1_p1,peer_ar0_ma,twoway_event_peer,ai_active_peer_tminus5,-5.934299859314647e-06,0.00017096681980237395,-0.034710242994367535,0.9723107931218995,176129,20116,2652,4926,-0.00017846628891323872,0.5451402097326391
M1_specz_x_ai_active,all_events,10,clean_m1_p1,peer_ar0_ma,twoway_event_peer,specz_ai_active,-0.00016277993131235877,0.0001585864495207779,-1.0264428758210609,0.3046828767545229,176129,20116,2652,4926,-0.00017846628891323872,0.5451402097326391
M2_plus_similarity_control,all_events,10,clean_m1_p1,peer_ar0_ma,event_cluster,ai_active_peer_tminus5,-7.0190479019023155e-06,0.00015942346925010108,-0.044027695137476536,0.9648823277398046,176129,20116,2652,4926,-0.00017846628891323872,0.5451402097326391
M2_plus_similarity_control,all_events,10,clean_m1_p1,peer_ar0_ma,event_cluster,specz_ai_active,-0.00016275875326784446,0.00015988437744285331,-1.0179778404304607,0.30868848711973707,176129,20116,2652,4926,-0.00017846628891323872,0.5451402097326391
M2_plus_similarity_control,all_events,10,clean_m1_p1,peer_ar0_ma,event_cluster,product_similarity,0.0003480582563425693,0.00139028390170781,0.2503504902236286,0.8023163137248044,176129,20116,2652,4926,-0.00017846628891323872,0.5451402097326391
M2_plus_similarity_control,all_events,10,clean_m1_p1,peer_ar0_ma,twoway_event_peer,ai_active_peer_tminus5,-7.0190479019023155e-06,0.00017070228357963393,-0.04111865263142701,0.9672013045287386,176129,20116,2652,4926,-0.00017846628891323872,0.5451402097326391
